FIPS,State,lon,lat,Total,White,Black/African-American,American Indian/Alaska Native,Asian,Native Hawaiian/Pacific Islander,Other,Mixed Race,pct_white,pct_black,pct_native,pct_asian,pct_pacific,pct_other,pct_mixed,score2,score4,,score3
50,VT,-72.4477828,43.8717545,625741,596292,6277,2207,7947,160,2105,10753,95.29373974,1.003130688,0.352701837,1.270014271,0.025569685,0.336401163,1.718442614,0.632930615,0.000121817,1,0.010493869
23,ME,-69.0148656,45.2185133,1328361,1264971,15707,8568,13571,342,4261,20941,95.22795385,1.182434594,0.645005386,1.021634932,0.025746013,0.320771236,1.576453991,0.96602277,0.000186055,1,0.010501118
54,WV,-80.1816905,38.9201705,1852994,1739988,63124,3787,12406,428,6119,27142,93.90143735,3.406594948,0.204371952,0.669511072,0.023097754,0.330222332,1.464764592,0.489007841,9.55127E-05,1,0.010649464
33,NH,-71.5799231,44.0012306,1316470,1236050,15035,3150,28407,384,12062,21382,93.89123945,1.142069322,0.239276246,2.157815978,0.029168914,0.916238122,1.624191968,2.403241986,0.000469451,1,0.010650621
19,IA,-93.389798,41.9383166,3046355,2781561,89148,11084,53094,2003,56132,53333,91.30784167,2.926382513,0.36384466,1.742869757,0.065750709,1.842595495,1.750715199,35.93900546,0.007218973,1,0.010951962
56,WY,-107.5545669,43.000325,563626,511279,4748,13336,4426,427,17049,12361,90.71245826,0.842402586,2.366108022,0.785272503,0.075759458,3.024878199,2.19312097,71.35902739,0.014427777,1,0.011023844
31,NE,-99.680902,41.5008195,1826341,1572838,82885,18427,32293,1279,79109,39510,86.11962388,4.538309111,1.008957254,1.768180203,0.070030734,4.331556922,2.163341895,457.5655833,0.09744704,1,0.011611755
38,ND,-100.3022655,47.4678819,672591,605449,7960,36591,6909,320,3509,11853,90.01741028,1.183482979,5.440304732,1.027221595,0.047577205,0.52171379,1.762289415,26.04260203,0.005306098,2,0.022217924
30,MT,-110.044783,46.6797995,989415,884961,4027,62555,6253,668,5975,24976,89.44285259,0.407008182,6.322422846,0.63198961,0.067514642,0.603892199,2.524319926,14.97076679,0.003069841,2,0.022360646
16,ID,-114.1424303,45.4945756,1567582,1396487,9810,21441,19069,2317,79523,38935,89.08541945,0.625804583,1.367775338,1.21645949,0.14780726,5.072972259,2.483761615,172.753141,0.035566141,2,0.022450363
21,KY,-85.7682399,37.8222935,4339367,3809537,337520,10120,48930,2501,55551,75208,87.79015465,7.77809298,0.233213738,1.127583816,0.057635134,1.280163674,1.733156011,22.96214081,0.004797158,2,0.022781598
55,WI,-89.8267049,44.7862968,5686986,4902067,359148,54526,129234,1827,135867,104317,86.19797903,6.315260843,0.95878555,2.272451524,0.03212598,2.38908624,1.834310828,166.9804509,0.035529244,2,0.0232024
49,UT,-111.547028,39.4997605,2763885,2379560,29287,32927,55285,24554,166754,75518,86.0947543,1.059631642,1.191330319,2.000264121,0.88838718,6.033319042,2.732313392,3183.759353,0.678236204,2,0.023230219
46,SD,-100.2471641,44.2126995,814180,699392,10207,71817,7610,394,7477,17283,85.90139773,1.253653983,8.820776732,0.934682748,0.048392247,0.918347294,2.122749269,83.75879378,0.017883298,2,0.023282508
